model_tag,retriever,lang_pair,num_queries,k,avg_revised_demo_count,query_coverage,revised_demo_ratio,pct_query_0_revised,pct_query_1_revised,pct_query_2_revised,pct_query_3plus_revised,delta_comet22,delta_qe,definition
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,1012,8.0,1.315217391304348,0.7697628458498024,0.1644021739130435,0.2302371541501976,0.3814229249011858,0.2569169960474308,0.1314229249011857,0.0039948971404624,0.0001314424950143,actual target-text replacements after keep-higher
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,1012,8.0,1.2411067193675889,0.7233201581027668,0.1551383399209486,0.2766798418972332,0.3567193675889328,0.2470355731225296,0.1195652173913043,0.0034919135095808,0.0009056902803451,actual target-text replacements after keep-higher
bloomz-7b1-mt,bm25,eng_Latn-som_Latn,1012,8.0,1.424901185770751,0.7806324110671937,0.1781126482213438,0.2193675889328063,0.3379446640316205,0.2845849802371542,0.1581027667984189,0.0051732059170606,0.0041569955499747,actual target-text replacements after keep-higher
bloomz-7b1-mt,bm25,eng_Latn-swh_Latn,1012,8.0,1.3280632411067197,0.7509881422924901,0.1660079051383399,0.2490118577075099,0.3596837944664031,0.2519762845849802,0.1393280632411067,5.968306728976192e-05,0.000718377883962,actual target-text replacements after keep-higher
bloomz-7b1-mt,bm25,eng_Latn-xho_Latn,1012,8.0,1.3606719367588933,0.7579051383399209,0.1700839920948616,0.242094861660079,0.358695652173913,0.2411067193675889,0.1581027667984189,-0.0006154497916047,0.0014420517171795,actual target-text replacements after keep-higher
bloomz-7b1-mt,gte,eng_Latn-hau_Latn,1012,8.0,1.4683794466403162,0.7776679841897233,0.1835474308300395,0.2223320158102766,0.3567193675889328,0.2440711462450593,0.1768774703557312,0.0063525839403212,0.0013764786567141,actual target-text replacements after keep-higher
bloomz-7b1-mt,gte,eng_Latn-plt_Latn,1012,8.0,1.2361660079051384,0.7144268774703557,0.1545207509881423,0.2855731225296443,0.3527667984189723,0.25,0.1116600790513833,0.0010144047738037,0.0010092959028593,actual target-text replacements after keep-higher
bloomz-7b1-mt,gte,eng_Latn-som_Latn,1012,8.0,1.4802371541501975,0.7905138339920948,0.1850296442687747,0.2094861660079051,0.341897233201581,0.2776679841897233,0.1709486166007905,0.0047889028937213,0.0003955873104894,actual target-text replacements after keep-higher
bloomz-7b1-mt,gte,eng_Latn-swh_Latn,1012,8.0,1.3814229249011858,0.7579051383399209,0.1726778656126482,0.242094861660079,0.3725296442687747,0.2312252964426877,0.1541501976284585,-1.5338492605487808e-05,-0.0010207794871726,actual target-text replacements after keep-higher
bloomz-7b1-mt,gte,eng_Latn-xho_Latn,1012,8.0,1.383399209486166,0.7460474308300395,0.1729249011857707,0.2539525691699604,0.3221343873517787,0.2658102766798419,0.1581027667984189,0.000953731653483,-0.0003589253592868,actual target-text replacements after keep-higher
bloomz-7b1-mt,sonar,eng_Latn-hau_Latn,1012,8.0,1.3982213438735178,0.7618577075098815,0.1747776679841897,0.2381422924901186,0.3349802371541502,0.2658102766798419,0.1610671936758893,0.0054378013454171,0.0030780239067529,actual target-text replacements after keep-higher
bloomz-7b1-mt,sonar,eng_Latn-plt_Latn,1012,8.0,1.2025691699604744,0.6650197628458498,0.1503211462450593,0.3349802371541502,0.3201581027667984,0.2114624505928853,0.133399209486166,0.0077718733452932,0.0008084847915045,actual target-text replacements after keep-higher
bloomz-7b1-mt,sonar,eng_Latn-som_Latn,1012,8.0,1.274703557312253,0.6956521739130435,0.1593379446640316,0.3043478260869565,0.3260869565217391,0.2193675889328063,0.150197628458498,0.0113013785170471,0.0024552233958903,actual target-text replacements after keep-higher
bloomz-7b1-mt,sonar,eng_Latn-swh_Latn,1012,8.0,1.2895256916996047,0.6966403162055336,0.1611907114624506,0.3033596837944664,0.3399209486166007,0.1956521739130435,0.1610671936758893,0.0005196129439376,0.0036233035413173,actual target-text replacements after keep-higher
bloomz-7b1-mt,sonar,eng_Latn-xho_Latn,1012,8.0,1.2944664031620554,0.7381422924901185,0.1618083003952569,0.2618577075098814,0.3675889328063241,0.2282608695652173,0.1422924901185771,-0.0011373434377752,-0.0004406286028063,actual target-text replacements after keep-higher
llama3-8b-instruct,bm25,eng_Latn-hau_Latn,1012,8.0,1.315217391304348,0.7697628458498024,0.1644021739130435,0.2302371541501976,0.3814229249011858,0.2569169960474308,0.1314229249011857,0.0037240075470195,0.0043847327058023,actual target-text replacements after keep-higher
llama3-8b-instruct,bm25,eng_Latn-plt_Latn,1012,8.0,1.2411067193675889,0.7233201581027668,0.1551383399209486,0.2766798418972332,0.3567193675889328,0.2470355731225296,0.1195652173913043,-0.0003310221692789,0.0007238109769086,actual target-text replacements after keep-higher
llama3-8b-instruct,bm25,eng_Latn-som_Latn,1012,8.0,1.424901185770751,0.7806324110671937,0.1781126482213438,0.2193675889328063,0.3379446640316205,0.2845849802371542,0.1581027667984189,0.0052356114500595,0.0008700053270155,actual target-text replacements after keep-higher
llama3-8b-instruct,bm25,eng_Latn-swh_Latn,1012,8.0,1.3280632411067197,0.7509881422924901,0.1660079051383399,0.2490118577075099,0.3596837944664031,0.2519762845849802,0.1393280632411067,-0.0002886600232877,0.0017153819500222,actual target-text replacements after keep-higher
llama3-8b-instruct,bm25,eng_Latn-xho_Latn,1012,8.0,1.3606719367588933,0.7579051383399209,0.1700839920948616,0.242094861660079,0.358695652173913,0.2411067193675889,0.1581027667984189,-0.0012893420257586,-0.0002942706049666,actual target-text replacements after keep-higher
llama3-8b-instruct,gte,eng_Latn-hau_Latn,1012,8.0,1.4683794466403162,0.7776679841897233,0.1835474308300395,0.2223320158102766,0.3567193675889328,0.2440711462450593,0.1768774703557312,0.0018685927445238,0.0032470756957653,actual target-text replacements after keep-higher
llama3-8b-instruct,gte,eng_Latn-plt_Latn,1012,8.0,1.2361660079051384,0.7144268774703557,0.1545207509881423,0.2855731225296443,0.3527667984189723,0.25,0.1116600790513833,0.0138852061637541,0.0113043985347973,actual target-text replacements after keep-higher
llama3-8b-instruct,gte,eng_Latn-som_Latn,1012,8.0,1.4802371541501975,0.7905138339920948,0.1850296442687747,0.2094861660079051,0.341897233201581,0.2776679841897233,0.1709486166007905,0.0086755682033277,0.0050409098152115,actual target-text replacements after keep-higher
llama3-8b-instruct,gte,eng_Latn-swh_Latn,1012,8.0,1.3814229249011858,0.7579051383399209,0.1726778656126482,0.242094861660079,0.3725296442687747,0.2312252964426877,0.1541501976284585,6.344979224004454e-05,-0.0001959636984135,actual target-text replacements after keep-higher
llama3-8b-instruct,gte,eng_Latn-xho_Latn,1012,8.0,1.383399209486166,0.7460474308300395,0.1729249011857707,0.2539525691699604,0.3221343873517787,0.2658102766798419,0.1581027667984189,-0.0005649494765539,0.0010226408365686,actual target-text replacements after keep-higher
llama3-8b-instruct,sonar,eng_Latn-hau_Latn,1012,8.0,1.3982213438735178,0.7618577075098815,0.1747776679841897,0.2381422924901186,0.3349802371541502,0.2658102766798419,0.1610671936758893,0.0015144581380097,-0.0007929809303151,actual target-text replacements after keep-higher
llama3-8b-instruct,sonar,eng_Latn-plt_Latn,1012,8.0,1.2025691699604744,0.6650197628458498,0.1503211462450593,0.3349802371541502,0.3201581027667984,0.2114624505928853,0.133399209486166,0.0112938296653536,0.0067618907145832,actual target-text replacements after keep-higher
llama3-8b-instruct,sonar,eng_Latn-som_Latn,1012,8.0,1.274703557312253,0.6956521739130435,0.1593379446640316,0.3043478260869565,0.3260869565217391,0.2193675889328063,0.150197628458498,0.0057231696403545,0.002812542256866,actual target-text replacements after keep-higher
llama3-8b-instruct,sonar,eng_Latn-swh_Latn,1012,8.0,1.2895256916996047,0.6966403162055336,0.1611907114624506,0.3033596837944664,0.3399209486166007,0.1956521739130435,0.1610671936758893,-0.0004757764664562,0.0002923569542617,actual target-text replacements after keep-higher
llama3-8b-instruct,sonar,eng_Latn-xho_Latn,1012,8.0,1.2944664031620554,0.7381422924901185,0.1618083003952569,0.2618577075098814,0.3675889328063241,0.2282608695652173,0.1422924901185771,0.0073117682113948,0.0025016919602989,actual target-text replacements after keep-higher
qwen3-8b,bm25,eng_Latn-hau_Latn,1012,8.0,1.315217391304348,0.7697628458498024,0.1644021739130435,0.2302371541501976,0.3814229249011858,0.2569169960474308,0.1314229249011857,0.0015200964311365,-0.0008491192587279,actual target-text replacements after keep-higher
qwen3-8b,bm25,eng_Latn-plt_Latn,1012,8.0,1.2411067193675889,0.7233201581027668,0.1551383399209486,0.2766798418972332,0.3567193675889328,0.2470355731225296,0.1195652173913043,-0.0020481493809948,-0.0009254575541368,actual target-text replacements after keep-higher
qwen3-8b,bm25,eng_Latn-som_Latn,1012,8.0,1.424901185770751,0.7806324110671937,0.1781126482213438,0.2193675889328063,0.3379446640316205,0.2845849802371542,0.1581027667984189,0.0011720252720264,-8.889078622748015e-05,actual target-text replacements after keep-higher
qwen3-8b,bm25,eng_Latn-swh_Latn,1012,8.0,1.3280632411067197,0.7509881422924901,0.1660079051383399,0.2490118577075099,0.3596837944664031,0.2519762845849802,0.1393280632411067,0.0013655407626638,-1.3693754852273088e-07,actual target-text replacements after keep-higher
qwen3-8b,bm25,eng_Latn-xho_Latn,1012,8.0,1.3606719367588933,0.7579051383399209,0.1700839920948616,0.242094861660079,0.358695652173913,0.2411067193675889,0.1581027667984189,0.0009104881597601,-0.001880493648203,actual target-text replacements after keep-higher
qwen3-8b,gte,eng_Latn-hau_Latn,1012,8.0,1.4683794466403162,0.7776679841897233,0.1835474308300395,0.2223320158102766,0.3567193675889328,0.2440711462450593,0.1768774703557312,-8.743860033688655e-06,0.003485809879105,actual target-text replacements after keep-higher
qwen3-8b,gte,eng_Latn-plt_Latn,1012,8.0,1.2361660079051384,0.7144268774703557,0.1545207509881423,0.2855731225296443,0.3527667984189723,0.25,0.1116600790513833,0.0013229829873963,-0.0005536993501685,actual target-text replacements after keep-higher
qwen3-8b,gte,eng_Latn-som_Latn,1012,8.0,1.4802371541501975,0.7905138339920948,0.1850296442687747,0.2094861660079051,0.341897233201581,0.2776679841897233,0.1709486166007905,-0.0003736840759812,-0.002759365107231,actual target-text replacements after keep-higher
qwen3-8b,gte,eng_Latn-swh_Latn,1012,8.0,1.3814229249011858,0.7579051383399209,0.1726778656126482,0.242094861660079,0.3725296442687747,0.2312252964426877,0.1541501976284585,-0.0005935013235321,0.0002554221881236,actual target-text replacements after keep-higher
qwen3-8b,gte,eng_Latn-xho_Latn,1012,8.0,1.383399209486166,0.7460474308300395,0.1729249011857707,0.2539525691699604,0.3221343873517787,0.2658102766798419,0.1581027667984189,0.0008379421804262,-0.0013074459942433,actual target-text replacements after keep-higher
qwen3-8b,sonar,eng_Latn-hau_Latn,1012,8.0,1.3982213438735178,0.7618577075098815,0.1747776679841897,0.2381422924901186,0.3349802371541502,0.2658102766798419,0.1610671936758893,0.0005666992733836,-0.0005711801202871,actual target-text replacements after keep-higher
qwen3-8b,sonar,eng_Latn-plt_Latn,1012,8.0,1.2025691699604744,0.6650197628458498,0.1503211462450593,0.3349802371541502,0.3201581027667984,0.2114624505928853,0.133399209486166,0.0007495133007467,0.0003528540490173,actual target-text replacements after keep-higher
qwen3-8b,sonar,eng_Latn-som_Latn,1012,8.0,1.274703557312253,0.6956521739130435,0.1593379446640316,0.3043478260869565,0.3260869565217391,0.2193675889328063,0.150197628458498,-0.0004093229122784,-0.0002609132365746,actual target-text replacements after keep-higher
qwen3-8b,sonar,eng_Latn-swh_Latn,1012,8.0,1.2895256916996047,0.6966403162055336,0.1611907114624506,0.3033596837944664,0.3399209486166007,0.1956521739130435,0.1610671936758893,-0.0017471196858779,-0.0010045266198546,actual target-text replacements after keep-higher
qwen3-8b,sonar,eng_Latn-xho_Latn,1012,8.0,1.2944664031620554,0.7381422924901185,0.1618083003952569,0.2618577075098814,0.3675889328063241,0.2282608695652173,0.1422924901185771,-0.0014866936524866,-0.0015424546516931,actual target-text replacements after keep-higher
